PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2022-03-22T00:00:00Z,2022-03-21T23:00:00Z,PT60M,3.7,3,0.0,-1.2,0,0,0,0,0,0,8.3,70.4,0.0,947.7,106,0.3,133,0.16
2022-03-22T01:00:00Z,2022-03-22T00:00:00Z,PT60M,3.2,-17,0.0,-1.3,0,0,0,0,0,0,8.3,72.1,0.0,947.7,189,0.4,132,0.16
2022-03-22T02:00:00Z,2022-03-22T01:00:00Z,PT60M,2.9,-36,0.0,-1.4,0,0,0,0,0,0,8.3,73.6,0.0,947.8,203,0.6,127,0.16
2022-03-22T03:00:00Z,2022-03-22T02:00:00Z,PT60M,2.5,-52,0.0,-1.6,0,0,0,0,0,0,8.3,74.4,0.0,947.8,192,0.5,120,0.16
2022-03-22T04:00:00Z,2022-03-22T03:00:00Z,PT60M,2.2,-65,0.0,-1.7,0,0,0,0,0,0,8.1,75.1,0.0,947.9,176,0.4,111,0.16
2022-03-22T05:00:00Z,2022-03-22T04:00:00Z,PT60M,1.9,-77,0.0,-1.8,0,0,0,0,0,0,8.0,76.3,0.0,948.1,161,0.4,102,0.16
2022-03-22T06:00:00Z,2022-03-22T05:00:00Z,PT60M,1.8,-88,0.0,-1.9,4,23,2,6,6,9,7.8,76.2,0.0,948.4,142,0.5,92,0.16
2022-03-22T07:00:00Z,2022-03-22T06:00:00Z,PT60M,3.1,-99,0.0,-1.5,40,418,70,110,147,275,7.5,72.1,0.0,948.6,135,0.5,81,0.16
2022-03-22T08:00:00Z,2022-03-22T07:00:00Z,PT60M,5.3,-111,0.0,-0.6,64,687,221,284,401,713,7.2,65.4,0.0,948.6,143,0.4,71,0.16
2022-03-22T09:00:00Z,2022-03-22T08:00:00Z,PT60M,7.4,-124,0.0,0.3,74,815,378,453,649,821,7.1,60.7,0.0,948.6,188,0.3,62,0.16
2022-03-22T10:00:00Z,2022-03-22T09:00:00Z,PT60M,9.0,-139,0.0,1.2,80,883,509,589,849,794,7.0,58.0,0.0,948.5,219,0.3,55,0.16
2022-03-22T11:00:00Z,2022-03-22T10:00:00Z,PT60M,10.3,-157,0.0,1.7,84,915,595,679,981,747,7.2,55.3,0.0,948.3,206,0.4,49,0.16
2022-03-22T12:00:00Z,2022-03-22T11:00:00Z,PT60M,11.3,-177,0.0,1.9,86,925,630,715,1034,721,7.3,52.5,0.0,948.1,189,0.3,47,0.16
2022-03-22T13:00:00Z,2022-03-22T12:00:00Z,PT60M,11.9,163,0.0,1.8,85,920,611,696,1005,736,7.4,50.0,0.0,947.8,167,0.2,48,0.16
2022-03-22T14:00:00Z,2022-03-22T13:00:00Z,PT60M,12.2,144,0.0,1.5,81,895,540,622,896,780,7.4,48.0,0.0,947.3,51,0.1,53,0.16
2022-03-22T15:00:00Z,2022-03-22T14:00:00Z,PT60M,12.3,128,0.0,1.2,75,844,424,499,716,819,7.4,46.7,0.0,946.9,12,0.3,60,0.16
2022-03-22T16:00:00Z,2022-03-22T15:00:00Z,PT60M,12.1,115,0.0,1.2,65,748,275,339,481,789,7.5,47.2,0.0,946.6,2,0.4,69,0.16
2022-03-22T17:00:00Z,2022-03-22T16:00:00Z,PT60M,10.8,103,0.0,1.8,46,557,118,164,225,439,7.5,53.6,0.0,946.6,346,0.6,78,0.16
2022-03-22T18:00:00Z,2022-03-22T17:00:00Z,PT60M,8.5,91,23.1,1.7,14,73,8,22,25,39,7.7,62.1,0.0,946.6,339,0.6,88,0.16
2022-03-22T19:00:00Z,2022-03-22T18:00:00Z,PT60M,6.9,80,0.1,1.2,0,0,0,0,0,0,8.0,67.0,0.0,946.8,353,0.6,98,0.16
2022-03-22T20:00:00Z,2022-03-22T19:00:00Z,PT60M,6.1,69,0.0,1.2,0,0,0,0,0,0,8.2,71.0,0.0,947.1,13,0.6,108,0.16
2022-03-22T21:00:00Z,2022-03-22T20:00:00Z,PT60M,5.5,56,0.0,1.1,0,0,0,0,0,0,8.3,72.9,0.0,947.3,36,0.6,117,0.16
2022-03-22T22:00:00Z,2022-03-22T21:00:00Z,PT60M,5.0,40,0.0,0.7,0,0,0,0,0,0,8.2,73.8,0.0,947.5,61,0.5,125,0.16
2022-03-22T23:00:00Z,2022-03-22T22:00:00Z,PT60M,4.5,23,0.0,0.4,0,0,0,0,0,0,8.2,74.7,0.0,947.6,124,0.3,130,0.16